2023-06-22 00:15:32,225 - root - INFO - Epoch 29; loss: 12.969389915466309; CER: 0.9132846593856812; WER: 1.0; val_loss: 12.946316719055176; val_CER: 0.919480562210083; val_WER: 1.0
2023-06-22 00:15:51,591 - root - INFO - Epoch 30; loss: 12.945170402526855; CER: 0.9176642894744873; WER: 1.0; val_loss: 12.878100395202637; val_CER: 0.9142857193946838; val_WER: 1.0
2023-06-22 00:16:10,510 - root - INFO - Epoch 31; loss: 12.924614906311035; CER: 0.9132847189903259; WER: 1.0; val_loss: 12.861388206481934; val_CER: 0.9142856597900391; val_WER: 1.0
2023-06-22 00:16:29,518 - root - INFO - Epoch 32; loss: 12.859139442443848; CER: 0.9173722863197327; WER: 1.0; val_loss: 12.858278274536133; val_CER: 0.9220778942108154; val_WER: 1.0
2023-06-22 00:16:48,316 - root - INFO - Epoch 33; loss: 12.845850944519043; CER: 0.9132847189903259; WER: 1.0; val_loss: 12.808472633361816; val_CER: 0.9142857193946838; val_WER: 1.0
2023-06-22 00:17:07,773 - root - INFO - Epoch 34; loss: 12.797744750976562; CER: 0.9109489321708679; WER: 1.0; val_loss: 12.770479202270508; val_CER: 0.9142856597900391; val_WER: 1.0
2023-06-22 00:17:27,043 - root - INFO - Epoch 35; loss: 12.772337913513184; CER: 0.9086131453514099; WER: 1.0; val_loss: 12.79471492767334; val_CER: 0.9220778942108154; val_WER: 1.0
2023-06-22 00:17:45,786 - root - INFO - Epoch 36; loss: 12.738218307495117; CER: 0.8998539447784424; WER: 1.0; val_loss: 12.784631729125977; val_CER: 0.9142857193946838; val_WER: 1.0
2023-06-22 00:18:03,857 - root - INFO - Epoch 37; loss: 12.715559005737305; CER: 0.8855475187301636; WER: 1.0; val_loss: 12.715831756591797; val_CER: 0.8467531800270081; val_WER: 1.0
2023-06-22 00:18:21,614 - root - INFO - Epoch 38; loss: 12.657970428466797; CER: 0.8741604685783386; WER: 1.0; val_loss: 12.64988899230957; val_CER: 0.8285714387893677; val_WER: 1.0
2023-06-22 00:18:39,142 - root - INFO - Epoch 39; loss: 12.596490859985352; CER: 0.848467230796814; WER: 1.0; val_loss: 12.61803913116455; val_CER: 0.880519449710846; val_WER: 1.0
2023-06-22 00:18:57,533 - root - INFO - Epoch 40; loss: 12.567376136779785; CER: 0.8475912809371948; WER: 1.0; val_loss: 12.588274955749512; val_CER: 0.8545454740524292; val_WER: 1.0
2023-06-22 00:19:17,665 - root - INFO - Epoch 41; loss: 12.536351203918457; CER: 0.85313880443573; WER: 1.0; val_loss: 12.50371265411377; val_CER: 0.8623377084732056; val_WER: 1.0
2023-06-22 00:19:36,797 - root - INFO - Epoch 42; loss: 12.414993286132812; CER: 0.8470073342323303; WER: 1.0; val_loss: 12.544154167175293; val_CER: 0.8467531800270081; val_WER: 1.0
2023-06-22 00:19:55,983 - root - INFO - Epoch 43; loss: 12.381754875183105; CER: 0.8423357009887695; WER: 1.0; val_loss: 12.560420989990234; val_CER: 0.8285714387893677; val_WER: 1.0
2023-06-22 00:20:15,571 - root - INFO - Epoch 44; loss: 12.357592582702637; CER: 0.8604379892349243; WER: 1.0; val_loss: 12.640161514282227; val_CER: 0.8597401976585388; val_WER: 1.0
2023-06-22 00:20:35,000 - root - INFO - Epoch 45; loss: 12.313121795654297; CER: 0.8671531677246094; WER: 1.0; val_loss: 12.611238479614258; val_CER: 0.8753246068954468; val_WER: 1.0
2023-06-22 00:20:54,581 - root - INFO - Epoch 46; loss: 12.301033973693848; CER: 0.8519708514213562; WER: 1.0; val_loss: 12.553059577941895; val_CER: 0.8857142329216003; val_WER: 1.0
2023-06-22 00:21:13,929 - root - INFO - Epoch 47; loss: 12.316280364990234; CER: 0.8598541021347046; WER: 1.0; val_loss: 12.480464935302734; val_CER: 0.8441558480262756; val_WER: 1.0
2023-06-22 00:21:34,008 - root - INFO - Epoch 48; loss: 12.288128852844238; CER: 0.8519706726074219; WER: 1.0; val_loss: 12.597214698791504; val_CER: 0.8597401976585388; val_WER: 1.0
2023-06-22 00:21:53,769 - root - INFO - Epoch 49; loss: 12.279951095581055; CER: 0.8616057634353638; WER: 1.0; val_loss: 12.662691116333008; val_CER: 0.8311688303947449; val_WER: 1.0
2023-06-22 00:22:13,535 - root - INFO - Epoch 50; loss: 12.250997543334961; CER: 0.8548904061317444; WER: 1.0; val_loss: 12.636120796203613; val_CER: 0.8441558480262756; val_WER: 1.0
2023-06-22 00:22:33,141 - root - INFO - Epoch 51; loss: 12.256840705871582; CER: 0.8481751084327698; WER: 1.0; val_loss: 12.61606216430664; val_CER: 0.8545454740524292; val_WER: 1.0
2023-06-22 00:22:52,170 - root - INFO - Epoch 52; loss: 12.265307426452637; CER: 0.8604379892349243; WER: 1.0; val_loss: 12.551553726196289; val_CER: 0.8545454740524292; val_WER: 1.0
2023-06-22 00:23:10,494 - root - INFO - Epoch 53; loss: 12.266510009765625; CER: 0.8572261929512024; WER: 1.0; val_loss: 12.491930961608887; val_CER: 0.86753249168396; val_WER: 1.0
